StationName,Index No.,Basin Office,TypesofStation,District,Latitude,Longitude,Elevation
GUTHI CHAUR,304,R,PRECIPITATION,Jumla,29.28333333,82.31666667,3080
SHERI GHAT,305,R,PRECIPITATION,Kalikot,29.13333333,81.6,1210
GAM SHREE NAGAR,306,R,PRECIPITATION,Mugu,29.55,82.15,2133
RARA,307,R,CLIMATOLOGY,Mugu,29.55,82.11666667,3048
NAGMA,308,R,PRECIPITATION,Kalikot,29.2,81.9,1905
BIJAYAPUR (RASKOT),309,R,PRECIPITATION,Kalikot,29.23333333,81.63333333,1814
DIPAL GAUN,310,R,CLIMATOLOGY,Jumla,29.26666667,82.21666667,2310
SIMIKOT,311,R,CLIMATOLOGY,Humla,29.96666667,81.83333333,2800
DUNAI,312,R,CLIMATOLOGY,Dolpa,28.93333333,82.91666667,2058
DARMA,313,R,PRECIPITATION,Humla,29.73333333,82.1,1950
PUSMA CAMP,401,R,CLIMATOLOGY,Surkhet,28.88333333,81.25,950
DAILEKH,402,R,CLIMATOLOGY,Dailekh,28.85,81.71666667,1402
JAMU(TIKUWA KUNA),403,R,PRECIPITATION,Surkhet,28.78333333,81.33333333,260
JAJARKOT,404,R,PRECIPITATION,Jajarkot,28.7,82.2,1231
CHISAPANI(KARNALI),405,R,CLIMATOLOGY,Bardiya,28.65,81.26666667,225
SURKHET(BIRENDRA NAGAR),406,R,SYNOPTIC,Surkhet,28.6,81.61666667,720
KUSUM,407,R,PRECIPITATION,Banke,28.01666667,82.11666667,235
GULARIYA,408,R,PRECIPITATION,Bardiya,28.16666667,81.35,215
KHAJURA (NEPALGANJ),409,R,AGROMETEOROLOGY,Banke,28.1,81.56666667,190
BALE BUDHA,410,R,PRECIPITATION,Dailekh,28.78333333,81.58333333,610
RAJAPUR,411,R,PRECIPITATION,Bardiya,28.43333333,81.1,129
NAUBASTA,412,R,PRECIPITATION,Banke,28.26666667,81.71666667,135
SHYANO SHREE(CHEPANG),413,R,PRECIPITATION,Bardiya,28.35,81.7,510
BAIJAPUR,414,R,PRECIPITATION,Banke,28.05,81.9,226
BARGADAHA,415,R,PRECIPITATION,Bardiya,28.43333333,81.35,200
NEPALGUNJ(REG.OFF.),416,R,CLIMATOLOGY,Banke,28.06666667,81.61666667,144
RANI JARUWA NURSERY,417,R,CLIMATOLOGY,Bardiya,28.38333333,81.35,200
MAINA GAUN (D.BAS),418,R,PRECIPITATION,Jajarkot,28.98333333,82.28333333,2000
SIKTA,419,R,AGROMETEOROLOGY,Banke,28.03333333,81.78333333,195
NEPALGUNJ AIRPORT,420,R,AERONATICAL,Banke,28.1,81.66666667,165
RUKUMKOT,501,R,PRECIPITATION,Rukum,28.6,82.63333333,1560
SHERA GAUN,502,R,PRECIPITATION,Rukum,28.58333333,82.81666667,2150
LIBANG GAUN,504,R,PRECIPITATION,Rolpa,28.3,82.63333333,1270
BIJUWAR TAR,505,R,PRECIPITATION,Pyuthan,28.1,82.86666667,823
NAYABASTI (DANG),507,R,PRECIPITATION,Dang,28.21666667,82.11666667,698
TULSIPUR,508,R,CLIMATOLOGY,Dang,28.13333333,82.3,725
GHORAHI (MASINA),509,R,PRECIPITATION,Dang,28.05,82.5,725
KOILABAS,510,R,PRECIPITATION,Dang,27.7,82.53333333,320
SALYAN BAZAR,511,R,CLIMATOLOGY,Salyan,28.38333333,82.16666667,1457
LUWAMJULA BAZAR,512,R,PRECIPITATION,Salyan,28.3,82.28333333,885
CHAUR JHARI TAR,513,R,CLIMATOLOGY,Rukum,28.63333333,82.2,910
MUSIKOT(RUKUMKOT),514,R,CLIMATOLOGY,Rukum,28.63333333,82.48333333,2100
GHORAI (DANG),515,R,SYNOPTIC,Dang,28.05,82.5,634
JOMSOM,601,N,CLIMATOLOGY,Mustang,28.78333333,83.71666667,2744
THAKMARPHA,604,N,AGROMETEOROLOGY,Mustang,28.75,83.7,2566
BAGLUNG,605,N,CLIMATOLOGY,Baglung,28.26666667,83.6,984
TATOPANI,606,N,PRECIPITATION,Myagdi,28.48333333,83.65,1243
LETE,607,N,CLIMATOLOGY,Mustang,28.63333333,83.6,2384
RANIPAUWA (M.NATH),608,N,PRECIPITATION,Mustang,28.81666667,83.88333333,3609
BENI BAZAR,609,N,CLIMATOLOGY,Myagdi,28.35,83.56666667,835
GHAMI (MUSTANG),610,N,PRECIPITATION,Mustang,29.05,83.88333333,3465
MUSTANG(LOMANGTHANG),612,N,CLIMATOLOGY,Mustang,29.18333333,83.96666667,3705
KARKI NETA,613,N,PRECIPITATION,Parbat,28.18333333,83.75,1720
KUSHMA,614,N,CLIMATOLOGY,Parbat,28.21666667,83.7,891
BOBANG,615,N,PRECIPITATION,Baglung,28.4,83.1,2273
GURJA KHANI,616,N,CLIMATOLOGY,Myagdi,28.6,83.21666667,2530
GHOREPANI,619,N,PRECIPITATION,Myagdi,28.4,83.73333333,2742
TRIBENI,620,N,PRECIPITATION,Parbat,28.03333333,83.65,700
DARBANG,621,N,PRECIPITATION,Myagdi,28.38333333,83.4,1160
RANGKHANI,622,N,PRECIPITATION,Baglung,28.15,83.56666667,1740
DHIEE,623,N,PRECIPITATION,Mustang,29.1,84,3620
SAMAR GAUN,624,N,PRECIPITATION,Mustang,28.96666667,83.78333333,3570
SANDA,625,N,PRECIPITATION,Mustang,28.9,83.68333333,3570
BEGA,626,N,PRECIPITATION,Myagdi,28.46666667,83.6,1770
KUHUN,627,N,PRECIPITATION,Myagdi,28.38333333,83.48333333,1550
MUNA,628,N,PRECIPITATION,Myagdi,28.5,83.3,1970
BAGHARA,629,N,PRECIPITATION,Myagdi,28.56666667,83.38333333,2330
SIRKON,630,N,PRECIPITATION,Parbat,28.13333333,83.61666667,790
CHHOSER,633,N,CLIMATOLOGY,Mustang,29.18333333,83.98333333,3870
RIDI BAZAR,701,N,PRECIPITATION,Gulmi,27.95,83.43333333,442
